Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
Ghansoli,358.58,1,2.0,20,25.0,5.1,No,NO,5313853
Airoli,1094.99,,4.0,24,10.0,11.4,no,Yes,11942753
Nerul,1086.84,4,2.0,8,,19.5,Yes,YES,16765518
Panvel,934.34,2BHK,,9,18.0,15.5,,No,13755717
KHARGHAR ,1278.39,,2.0,21,12.0,1.8,yes,NO,15626050 INR
KHARGHAR ,568.42,4,,1,12.0,9.3,No,YES,7778407
Ghansoli,693.31,2,3.0,16,17.0,4.2,yes,YES,6665207
Panvel,1066.63,,3.0,9,28.0,2.1,,NO,13832706
KHARGHAR ,714.04,4,2.0,0,27.0,7.2,Yes,Yes,₹10697786
Vashi,1276.29,4,1.0,23,13.0,13.2,yes,YES,25365557
Nerul,1099.51,2,4.0,2,9.0,11.4,,No,21154915
KHARGHAR ,570.23,,1.0,23,33.0,16.6,,Yes,7525730
KHARGHAR ,505.91,3,2.0,Ground,12.0,9.7,yes,Yes,5990964
,986.07,1,3.0,5,20.0,19.5,Yes,YES,13009899
Panvel,1204.1,2,4.0,18,5.0,5.8,yes,,17066737
 panvel,852.92,4,3.0,11,16.0,3.3,No,YES,10180122
Ulwe,786.28,2BHK,2.0,5,18.0,14.0,No,No,11741498
Vashi,1186.17,1,1.0,31,33.0,7.1,No,Yes,21001891
Panvel,429.56,2BHK,1.0,1,10.0,5.4,,No,6879161
,1647.72,2,4.0,7,27.0,12.0,Yes,NO,₹31390357
Ulwe,1391.29,,3.0,Ground,35.0,16.7,No,YES,13294502
Ulwe,1280.56,,,8,22.0,6.9,Yes,,13935494
,401.05,4,4.0,8,38.0,8.2,,Yes,4210854
Ulwe,1171.2,2BHK,3.0,31,19.0,21.5,yes,No,₹16910188
nerul,1481.57,3,2.0,19,2.0,10.3,Yes,No,24519038
Belapur,106.32,3,4.0,16,31.0,0.1,No,No,1420028
 panvel,956.45,2BHK,,11,2.0,9.4,yes,No,9879881
CBD Belapur,1267.53,1,,16,38.0,6.2,no,YES,15422742
CBD Belapur,790.04,,3.0,4,29.0,3.5,no,No,13393597
Kharghar,1037.51,4,2.0,27,8.0,15.8,Yes,YES,15755255
Kharghar,1488.37,,1.0,31,29.0,7.0,yes,Yes,26181743
Ghansoli,1450.91,4,1.0,20,26.0,9.0,Yes,No,17711525
Nerul,199.93,2BHK,4.0,16,13.0,8.7,Yes,Yes,3086381
,754.84,4,3.0,5,35.0,20.9,no,No,13224565
 panvel,1336.7,2,2.0,8,6.0,10.0,no,Yes,21072964
CBD Belapur,1284.59,2,,4,23.0,1.6,No,NO,22589095
,737.68,2BHK,4.0,10,15.0,0.7,no,Yes,10678165
Ulwe,241.9,3,3.0,14,22.0,1.8,No,Yes,5016522
 panvel,1039.52,1,1.0,27,23.0,7.9,Yes,,15138618
Nerul,1991.66,3,,29,13.0,13.2,yes,YES,38035911
KHARGHAR ,1030.01,3,1.0,23,3.0,0.9,yes,NO,13727594
Belapur,819.33,3,,3,28.0,8.7,,,13016446
Panvel,1191.49,4,2.0,4,37.0,16.4,yes,No,17879415
Airoli,376.67,3,3.0,10,37.0,8.7,no,Yes,5660168 INR
Nerul,163.46,2,4.0,31,34.0,20.3,yes,Yes,2592735
Panvel,351.02,1,2.0,Ground,10.0,16.2,yes,Yes,5618288
Nerul,1267.46,2,,2,12.0,6.2,no,No,16152127 INR
Belapur,1470.38,2,4.0,16,11.0,4.5,yes,Yes,28881055
CBD Belapur,1462.66,4,3.0,29,16.0,11.3,no,NO,25094762
KHARGHAR ,942.9,2BHK,1.0,11,7.0,3.2,No,Yes,14887036 INR
Belapur,912.07,2,1.0,22,36.0,4.9,yes,NO,16943352
Kharghar,1213.57,2,1.0,0,33.0,14.5,no,,13123626
Belapur,899.39,3,4.0,6,21.0,2.5,yes,No,11489611
CBD Belapur,1566.84,1,,12,24.0,20.0,Yes,YES,23923652
Vashi,804.36,,4.0,6,6.0,13.8,No,No,10624904
Vashi,750.22,2,2.0,1,12.0,12.0,no,,10637399 INR
Ulwe,1175.52,2BHK,4.0,19,21.0,4.5,No,No,15114401
CBD Belapur,1062.39,,4.0,14,35.0,1.6,No,YES,17991139
Vashi,451.7,,2.0,30,3.0,11.1,Yes,No,5230012
Ghansoli,618.64,1,4.0,,11.0,2.0,No,NO,6632315
Belapur,1403.45,2,1.0,19,,1.6,yes,,23196274
Belapur,835.21,,,Ground,18.0,9.8,Yes,,8977120
Belapur,1826.18,3,1.0,15,24.0,2.1,yes,No,19388528
Vashi,1099.06,,3.0,9,29.0,9.0,,Yes,₹15256295
Ghansoli,573.18,4,2.0,13,21.0,4.7,yes,NO,11055753
,1392.21,2BHK,2.0,27,7.0,15.1,No,YES,15232280 INR
Kharghar,1539.07,3,3.0,27,19.0,4.4,yes,,22868072
 panvel,1436.83,4,2.0,17,11.0,9.8,Yes,NO,15239115
Ulwe,1416.61,4,4.0,12,21.0,13.3,no,YES,17684404
Belapur,862.12,1,4.0,12,25.0,6.1,yes,NO,8172481 INR
Ulwe,1291.34,1,2.0,27,32.0,5.0,no,No,21104028
nerul,647.46,2,3.0,Ground,21.0,0.5,no,,6007873
Kharghar,950.72,2,3.0,29,13.0,8.7,Yes,NO,₹9552924
Ulwe,426.47,4,3.0,3,,10.1,yes,,₹7304328
Vashi,1371.44,3,2.0,9,22.0,3.7,no,No,25384893
 panvel,760.33,1,4.0,8,21.0,3.4,No,NO,14600453
 panvel,756.84,1,1.0,4,33.0,7.5,no,Yes,₹9573136
CBD Belapur,1072.45,1,4.0,17,,6.6,no,Yes,16379930 INR
CBD Belapur,1041.83,2BHK,2.0,13,16.0,5.7,No,,17227770
Vashi,625.66,4,4.0,2,16.0,0.5,,,12825146
Kharghar,1185.42,2BHK,2.0,10,10.0,8.3,No,Yes,13603711
KHARGHAR ,1175.71,2,3.0,20,39.0,5.0,No,NO,12102117
,1414.16,1,2.0,20,21.0,6.0,,NO,18080403
CBD Belapur,1260.77,4,4.0,3,11.0,8.2,,,16321059
Belapur,871.56,3,,7,18.0,6.8,No,NO,16909643
Ghansoli,996.63,2,2.0,26,20.0,14.4,No,,9669205
Ghansoli,856.03,,,4,10.0,2.6,No,,10843746
Vashi,516.32,2BHK,2.0,1,,20.7,,Yes,8096521 INR
Belapur,101.97,4,2.0,18,7.0,3.6,no,,1106124
 panvel,756.84,1,1.0,4,33.0,7.5,no,Yes,₹9573136
Ulwe,478.47,,2.0,1,2.0,16.1,,,5214244
nerul,89.05,2,2.0,2,4.0,13.3,No,YES,722334
Ghansoli,1055.3,1,1.0,13,37.0,3.7,,YES,16467235
Kharghar,1592.24,2BHK,,5,37.0,14.6,,No,26202978
KHARGHAR ,916.73,1,3.0,,9.0,16.3,No,Yes,12731471
Ghansoli,551.23,1,,0,7.0,12.1,no,,5153386
Vashi,1350.65,1,2.0,27,25.0,16.4,No,YES,23394938
,738.28,3,2.0,31,39.0,11.7,,No,12012683
KHARGHAR ,1221.21,3,,24,13.0,12.0,No,Yes,19046526
Airoli,735.53,3,3.0,5,36.0,6.4,yes,No,14543115
CBD Belapur,800.54,1,3.0,33,26.0,5.0,,,14064927
Ghansoli,431.27,2BHK,4.0,22,,4.1,yes,YES,5749570
CBD Belapur,1393.27,3,1.0,31,9.0,1.8,No,NO,17469464
Kharghar,240.41,3,1.0,9,39.0,3.9,yes,,2273678
Ulwe,1139.22,3,,34,33.0,13.6,No,Yes,20009495 INR
,733.05,2BHK,,3,11.0,8.9,no,Yes,10819822
Ulwe,1295.55,4,4.0,27,39.0,5.7,yes,NO,₹19449701
Airoli,1254.1,2BHK,4.0,23,6.0,11.2,no,Yes,17330323
Belapur,389.83,2,,2,25.0,9.2,No,YES,6674293
,957.22,2,,19,24.0,0.6,no,No,14490061
CBD Belapur,1596.82,4,,28,33.0,3.4,yes,,26631475
Panvel,971.62,1,,22,3.0,8.8,no,NO,14654454 INR
,717.29,2BHK,4.0,23,4.0,1.0,no,NO,9462252
Nerul,884.67,,,17,30.0,11.2,,Yes,12994821
KHARGHAR ,1214.44,2BHK,4.0,28,14.0,5.6,no,,13287011
nerul,1261.04,2BHK,3.0,,34.0,0.8,Yes,No,16863828
Kharghar,1689.58,,4.0,30,12.0,14.8,No,Yes,14896763
Vashi,741.44,3,1.0,9,17.0,14.9,,NO,11224674
Kharghar,1614.52,4,1.0,,14.0,5.2,no,YES,26686927
Ghansoli,1133.35,3,3.0,5,16.0,3.7,yes,No,17301786
Panvel,1222.81,2,2.0,1,38.0,1.1,,No,15982081
Nerul,788.3,2BHK,2.0,9,11.0,9.6,no,Yes,11008428
,944.28,3,4.0,29,37.0,1.5,No,No,17850513
Panvel,1689.24,3,,2,25.0,11.2,no,No,34329388
Ulwe,613.64,2BHK,1.0,Ground,30.0,8.0,yes,Yes,6479935
nerul,919.83,1,3.0,5,34.0,18.0,yes,NO,13777029
 panvel,709.12,3,2.0,7,26.0,10.8,no,NO,12015648
,1624.01,1,4.0,7,34.0,11.4,No,NO,21892405
Vashi,1079.85,1,2.0,0,39.0,0.8,Yes,,13335758
Nerul,808.69,2BHK,4.0,6,39.0,6.6,Yes,No,14108843
Kharghar,688.61,,1.0,32,29.0,5.7,Yes,,9479402
Ulwe,647.47,1,3.0,33,1.0,9.0,No,YES,12120234
Airoli,1464.65,3,4.0,9,33.0,4.3,Yes,No,16961677
 panvel,1528.79,1,,34,25.0,9.2,no,YES,19486001
Belapur,580.87,1,,,37.0,17.0,No,YES,5712448
KHARGHAR ,1212.88,2BHK,1.0,9,23.0,7.2,yes,NO,14430098
Belapur,749.45,,,30,14.0,0.5,no,YES,8858805
,526.39,2,3.0,Ground,21.0,14.6,yes,No,10059322
 panvel,578.43,4,,18,17.0,5.0,,No,7432551
nerul,1247.14,2,3.0,29,6.0,8.7,Yes,NO,17177921
Ulwe,908.3,2,2.0,20,3.0,3.3,,Yes,9349732
KHARGHAR ,2083.69,4,1.0,Ground,36.0,22.5,Yes,Yes,43570052
Vashi,1641.02,3,,24,22.0,10.6,no,YES,20300811
Ulwe,725.23,,,20,37.0,0.6,no,NO,6346760
Ghansoli,1422.7,4,,32,2.0,6.3,No,,18845596
Kharghar,69.5,2,3.0,31,23.0,4.0,yes,NO,1206863
 panvel,1105.27,2BHK,2.0,5,1.0,12.3,No,,18779894
CBD Belapur,997.82,1,4.0,,14.0,8.0,No,No,12008770
Ulwe,410.8,3,,27,3.0,4.4,no,NO,8362457
Kharghar,1170.32,,2.0,0,24.0,10.7,,Yes,20073861
Belapur,799.63,,,6,32.0,2.1,,No,13965332 INR
Belapur,533.18,1,,2,9.0,5.1,yes,YES,6154819
Ulwe,1067.34,,3.0,34,22.0,19.0,,NO,11180701
 panvel,320.8,4,3.0,,39.0,1.7,No,Yes,4984968
CBD Belapur,1095.2,1,,8,1.0,2.3,no,Yes,11588872
CBD Belapur,1073.62,,,21,35.0,4.1,no,NO,16663663 INR
nerul,933.87,4,4.0,27,33.0,12.5,Yes,,10186468
Kharghar,66.65,2BHK,3.0,24,28.0,19.1,yes,YES,819619
Vashi,6165.5,4,,29,10.0,4.6,,,119274610
Panvel,927.81,4,1.0,6,29.0,9.6,No,YES,20037781 INR
Airoli,695.25,2,1.0,20,4.0,9.2,Yes,NO,13619723
Panvel,2284.95,4,1.0,23,38.0,11.3,no,,43766218
Nerul,1287.59,2BHK,1.0,13,24.0,2.7,Yes,Yes,17135290
Panvel,686.89,2,3.0,31,2.0,3.1,No,,12864958
Kharghar,623.58,3,4.0,10,37.0,9.3,no,Yes,12527225
KHARGHAR ,890.42,,3.0,27,,11.1,Yes,,8596330
Ulwe,-149.0,4,1.0,3,12.0,5.0,no,No,₹-2569782
Kharghar,1491.23,3,,15,27.0,11.3,yes,,19345205 INR
Ulwe,1333.14,1,3.0,7,28.0,3.3,yes,YES,20512063
 panvel,797.6,,3.0,31,14.0,11.3,No,No,14497788
Airoli,943.63,,2.0,7,13.0,13.5,yes,Yes,11221450
KHARGHAR ,-215.7,4,2.0,31,12.0,11.1,no,YES,-3775468
 panvel,1234.99,1,4.0,0,21.0,14.2,No,No,15134542 INR
Kharghar,1189.36,3,,9,39.0,4.1,yes,,24182851
CBD Belapur,952.57,2,4.0,31,9.0,5.4,,,9667554
KHARGHAR ,988.45,,3.0,30,13.0,5.2,No,YES,10420959
Nerul,1099.51,2,4.0,2,9.0,11.4,,No,21154915
CBD Belapur,1103.27,2,2.0,9,39.0,11.0,yes,NO,11038931
CBD Belapur,1110.91,2,2.0,26,39.0,15.9,,,12974312
Airoli,415.77,2BHK,1.0,10,22.0,4.0,no,,6623404
 panvel,316.56,1,1.0,Ground,25.0,10.5,yes,,5978236
Vashi,1320.39,1,3.0,6,11.0,7.5,Yes,,₹24082001
Belapur,281.3,2BHK,1.0,13,26.0,8.6,,Yes,3117425
 panvel,803.9,2,2.0,12,37.0,2.0,No,,12801070
,520.73,,4.0,34,21.0,12.1,Yes,,5028130
Nerul,349.69,3,,29,27.0,9.0,Yes,No,3321441
Kharghar,1098.08,1,1.0,13,21.0,11.5,,,12936838
Belapur,794.66,2BHK,1.0,31,30.0,6.2,no,NO,8403932
Kharghar,1053.98,3,4.0,22,19.0,8.3,No,NO,14892173
 panvel,709.12,3,2.0,7,26.0,10.8,no,NO,12015648
Airoli,885.97,1,,,11.0,6.5,Yes,NO,8762405 INR
Kharghar,1052.71,1,,34,16.0,6.6,yes,YES,14502067
 panvel,861.55,2,4.0,31,8.0,3.0,no,NO,₹15006598
,304.4,,,0,37.0,7.6,No,No,5813247
CBD Belapur,727.77,4,1.0,7,11.0,0.2,No,NO,14008248
KHARGHAR ,888.25,4,4.0,5,32.0,2.8,Yes,NO,10809966
,959.56,2,1.0,2,33.0,5.9,,Yes,17001391
nerul,1258.19,2,2.0,22,16.0,21.2,,Yes,14068211
Kharghar,724.54,,3.0,8,12.0,5.5,Yes,,7005697
Belapur,573.59,2,4.0,3,36.0,9.5,yes,YES,7815008
Belapur,756.48,4,2.0,33,37.0,6.0,Yes,No,9936961
Nerul,929.97,4,,,13.0,6.7,No,YES,16289725 INR
KHARGHAR ,1045.76,,1.0,23,35.0,11.0,yes,Yes,18426395
Ulwe,939.39,2BHK,1.0,11,5.0,8.4,,Yes,10121401
Panvel,1048.83,3,1.0,32,15.0,8.5,,NO,16154977
Vashi,1108.55,2BHK,2.0,18,35.0,9.0,No,No,17058461
Vashi,8028.61,2,2.0,7,12.0,14.5,No,YES,111541627
Airoli,885.97,1,,,11.0,6.5,Yes,NO,8762405 INR
Vashi,865.93,2,2.0,23,16.0,4.9,No,Yes,₹11887878
CBD Belapur,812.98,1,2.0,18,13.0,9.0,no,YES,11024796
Vashi,1152.91,3,4.0,34,28.0,14.4,,NO,19898913
KHARGHAR ,1001.45,1,3.0,29,10.0,5.9,no,NO,17826024
Vashi,904.02,3,,23,15.0,0.9,no,No,16220863
Vashi,1332.58,,2.0,14,23.0,4.3,yes,No,22302081
nerul,1295.41,1,,17,14.0,9.0,no,NO,15648511
Nerul,1249.96,2BHK,,9,21.0,9.7,yes,Yes,18065779
 panvel,1578.92,4,,6,28.0,5.3,,,18509137
Ulwe,761.7,2BHK,,12,3.0,14.7,yes,NO,10167163
Belapur,60.21,3,4.0,30,2.0,14.8,yes,No,1799075
CBD Belapur,861.35,2BHK,4.0,11,31.0,9.7,no,Yes,13914219
 panvel,593.07,1,1.0,5,21.0,10.4,,YES,8509565
,3654.19,2BHK,,9,37.0,0.0,,,₹51150110
CBD Belapur,871.23,,2.0,25,28.0,6.7,No,No,10038736
nerul,1459.48,2BHK,,11,5.0,14.3,,,19616834
Panvel,1177.91,3,1.0,30,32.0,10.7,Yes,Yes,20997052
Airoli,1497.45,,2.0,12,20.0,2.0,No,NO,20374993
Nerul,-6.31,3,4.0,13,8.0,1.8,Yes,NO,-1364795
Ghansoli,431.9,1,3.0,30,16.0,0.9,,YES,4494942
Panvel,538.76,3,,3,36.0,7.4,Yes,Yes,11802204
KHARGHAR ,465.18,2,,16,26.0,21.0,yes,Yes,8693883 INR
Vashi,1049.31,3,3.0,22,7.0,1.8,Yes,YES,21147615
Panvel,1106.71,1,2.0,17,19.0,4.0,no,,10767818
Airoli,985.19,4,2.0,19,26.0,6.3,Yes,,12337287
,798.62,1,2.0,10,22.0,9.2,yes,NO,12972049
Panvel,972.85,3,1.0,1,14.0,9.7,,NO,17219680
KHARGHAR ,1243.72,,,17,17.0,4.1,,,11616604
,2005.15,2BHK,4.0,13,11.0,9.8,No,,23416746
Ghansoli,1176.62,,1.0,19,37.0,4.1,no,Yes,14966266
Nerul,864.4,,4.0,16,12.0,7.7,Yes,YES,12889170
Vashi,328.75,4,,16,10.0,6.2,Yes,YES,3441707
Belapur,871.41,2BHK,,1,3.0,6.8,no,Yes,8026538
Airoli,559.5,4,1.0,29,17.0,4.9,yes,YES,10432679
Ulwe,1835.01,2BHK,4.0,9,26.0,5.8,No,Yes,29402733
Ghansoli,624.1,3,2.0,21,23.0,9.1,no,NO,10160408
nerul,-306.57,4,4.0,4,15.0,12.8,Yes,NO,-6955773
KHARGHAR ,791.34,1,1.0,26,28.0,10.9,yes,YES,12913439
Vashi,1128.23,2BHK,2.0,7,5.0,19.2,Yes,No,15299360
Nerul,1085.34,,,13,15.0,4.5,yes,YES,17406592
,1141.26,1,1.0,29,14.0,4.5,,NO,11954181
Nerul,1432.25,4,1.0,18,27.0,10.1,No,No,21189281
CBD Belapur,674.32,,1.0,25,24.0,0.4,no,,10738258
Ghansoli,1190.85,,,16,23.0,8.4,yes,,16316427
 panvel,536.02,2BHK,,5,9.0,6.9,yes,Yes,7495341
Kharghar,762.6,4,2.0,12,18.0,3.4,No,No,11456526
KHARGHAR ,738.32,1,4.0,17,30.0,2.8,no,No,10872850
,626.96,1,3.0,0,25.0,6.7,,No,11470697
Belapur,819.15,1,,5,4.0,1.7,,No,15715798
Nerul,771.53,,1.0,5,26.0,3.3,no,NO,6937912
Kharghar,269.11,4,3.0,31,38.0,5.2,no,,4625028
Nerul,-113.74,3,3.0,28,39.0,4.5,no,No,-2456351
,721.45,4,3.0,17,10.0,2.5,No,YES,11017891
Panvel,749.9,2,3.0,16,29.0,4.9,,YES,₹11101188
Belapur,479.03,1,3.0,34,10.0,5.5,no,,7851956
Nerul,1742.61,4,1.0,15,9.0,5.3,Yes,Yes,29243559
CBD Belapur,1113.63,,,29,23.0,12.0,Yes,,13768310
CBD Belapur,720.62,,2.0,7,9.0,10.1,Yes,No,6993612
CBD Belapur,1751.36,1,,7,18.0,13.8,,YES,26147998
Ghansoli,1146.58,2,3.0,33,36.0,6.6,,,15107986
KHARGHAR ,1733.34,3,4.0,29,35.0,5.3,yes,,18010049
Nerul,1517.57,2BHK,3.0,23,19.0,16.8,no,No,22915451
Nerul,1498.04,4,,21,12.0,15.2,,No,₹27602041
Belapur,751.61,2BHK,1.0,16,24.0,7.0,No,Yes,14030269
Belapur,1109.62,3,1.0,33,36.0,0.1,No,No,16939131
Nerul,972.7,3,3.0,7,12.0,8.7,,No,17526707
Kharghar,922.75,1,1.0,19,22.0,10.2,no,NO,12742713
Vashi,834.58,3,3.0,22,11.0,3.3,No,,₹12206855
,1109.88,,1.0,30,9.0,4.1,No,,18172873
nerul,1252.54,1,3.0,25,31.0,0.5,,NO,15641549
Ulwe,513.91,4,1.0,29,27.0,7.1,Yes,NO,6003126
,1378.67,3,1.0,27,20.0,0.3,No,No,23165672
Ghansoli,1039.64,1,4.0,7,10.0,8.1,no,YES,10786403
nerul,1201.04,,,2,32.0,2.6,Yes,NO,15303677 INR
Belapur,1212.62,3,3.0,32,26.0,2.2,,YES,17028146
Vashi,957.75,4,4.0,30,21.0,5.9,yes,,19508623
CBD Belapur,1051.2,3,1.0,3,19.0,4.3,yes,,17889824
nerul,1340.52,,4.0,9,29.0,0.7,,NO,14726344
CBD Belapur,1155.78,4,3.0,0,30.0,12.3,yes,,19635764
,1041.73,1,,24,6.0,18.3,no,YES,11722802
Vashi,481.51,3,,27,29.0,21.6,,No,7556975
,339.74,3,2.0,20,4.0,15.6,Yes,NO,6399464
CBD Belapur,536.25,2BHK,2.0,31,1.0,3.7,,Yes,7336613
Belapur,812.92,2BHK,3.0,6,18.0,4.4,,YES,11491385 INR
nerul,941.19,,,25,1.0,24.1,yes,No,14096747
nerul,537.94,2,1.0,Ground,29.0,1.5,,Yes,10669516
Ghansoli,948.56,3,2.0,,16.0,1.0,,NO,16148827
 panvel,130.82,4,4.0,19,27.0,2.4,yes,YES,2440329
Belapur,671.78,4,2.0,8,4.0,7.7,yes,No,13134728
nerul,1478.17,2BHK,4.0,11,1.0,2.8,yes,YES,17535900
CBD Belapur,738.38,2BHK,4.0,5,32.0,12.8,no,YES,7334706
Ghansoli,1106.45,4,2.0,1,38.0,15.0,yes,NO,16759115
Kharghar,1077.91,1,1.0,4,1.0,1.6,yes,No,₹19994914
Ulwe,725.76,3,3.0,Ground,13.0,6.3,,No,13645559
Airoli,1267.72,2BHK,4.0,7,33.0,6.9,Yes,No,20385956
Belapur,175.06,2,3.0,26,19.0,0.5,No,Yes,2535138
Ulwe,775.49,2BHK,3.0,6,36.0,14.3,Yes,NO,11048474
Nerul,955.2,3,,19,27.0,16.7,yes,NO,14886586
Belapur,1409.71,2BHK,4.0,Ground,18.0,3.8,,,14129760
CBD Belapur,1141.53,1,4.0,32,9.0,12.1,no,NO,12758563
Ulwe,993.76,3,1.0,10,18.0,12.4,no,,17559153
,561.85,4,3.0,34,11.0,18.4,Yes,NO,7318371
Vashi,812.92,3,,27,18.0,5.8,Yes,Yes,15589703
nerul,686.7,1,3.0,26,31.0,9.0,Yes,NO,10164198
KHARGHAR ,957.85,,2.0,26,16.0,12.0,,No,9952788
Nerul,907.67,1,4.0,27,32.0,5.3,yes,Yes,15721232
Ghansoli,1493.15,2BHK,3.0,1,6.0,5.4,No,,24482831 INR
Vashi,703.71,1,1.0,0,13.0,3.7,No,NO,7189212
Belapur,820.04,3,2.0,12,5.0,7.6,Yes,No,11720333
Vashi,32.42,1,1.0,19,5.0,9.8,No,Yes,876660
Ghansoli,1301.13,2BHK,,1,17.0,12.7,yes,YES,₹17811073
,952.75,4,3.0,,7.0,14.5,no,No,15887098
,796.27,,3.0,9,37.0,5.0,yes,NO,11470392
Panvel,1232.6,,2.0,29,14.0,7.9,No,Yes,14368004
nerul,1441.12,2BHK,1.0,16,38.0,10.9,Yes,,17174446
Kharghar,539.39,3,2.0,21,6.0,8.8,no,YES,7163637
Vashi,902.31,2,1.0,21,3.0,13.5,,No,10600170
 panvel,1208.02,,3.0,18,24.0,7.9,Yes,YES,15879468
Kharghar,902.06,,1.0,11,32.0,8.7,no,,14331140
Nerul,1155.75,,2.0,21,23.0,2.9,Yes,YES,12574221
Airoli,1555.2,4,,10,35.0,16.4,yes,Yes,29630017
Vashi,1183.07,1,3.0,23,29.0,5.3,No,No,18963563
Kharghar,542.45,,,9,12.0,6.6,No,YES,8551916
nerul,950.28,,1.0,24,33.0,13.9,Yes,YES,10845967
Airoli,479.34,2BHK,3.0,11,33.0,13.6,No,YES,4790592
Panvel,1384.07,1,1.0,33,6.0,8.0,yes,Yes,17646982
,772.14,2BHK,,2,22.0,5.4,,No,11692135
,1079.19,3,4.0,24,11.0,7.6,no,NO,12891396
Belapur,615.94,4,3.0,3,34.0,20.5,No,NO,7564334
KHARGHAR ,6227.62,2BHK,2.0,2,36.0,11.7,yes,,57502162
Kharghar,1306.21,2BHK,4.0,5,10.0,10.2,Yes,YES,23097186
KHARGHAR ,1304.92,4,1.0,28,13.0,3.4,No,Yes,19342196
Panvel,471.88,2BHK,,Ground,30.0,16.7,no,YES,6855526
Ulwe,1074.24,,1.0,32,26.0,1.8,No,NO,14449023
Nerul,1412.94,1,,14,8.0,15.7,,No,13687297
Panvel,501.39,2,2.0,17,39.0,12.3,Yes,No,5210644
Ghansoli,488.6,1,2.0,20,9.0,9.6,,,4765942
Vashi,1082.77,2BHK,3.0,15,28.0,25.6,,,18186887
Panvel,1264.32,,,30,18.0,10.6,Yes,Yes,20240623
KHARGHAR ,1285.03,,1.0,15,24.0,3.1,no,,17136956
Airoli,290.41,2,,34,37.0,11.4,No,NO,3551549
Ghansoli,788.68,2BHK,3.0,4,32.0,8.5,yes,YES,9049418 INR
Panvel,374.64,2BHK,1.0,6,36.0,4.9,no,No,6009786
Kharghar,824.79,1,,24,,1.6,No,NO,8861122
 panvel,881.21,,3.0,6,37.0,18.6,No,No,10785257
Panvel,71.49,2,1.0,16,31.0,9.4,Yes,No,1389980
Airoli,1167.21,4,3.0,28,12.0,6.6,Yes,No,₹14350286
 panvel,1441.59,,1.0,34,16.0,4.2,no,NO,₹18920771
Vashi,637.49,4,,7,15.0,2.9,Yes,,10356708 INR
Ulwe,215.72,,1.0,12,19.0,10.0,no,NO,2372166
Belapur,1497.45,,2.0,6,3.0,2.2,yes,NO,₹15314962
Kharghar,1245.29,2BHK,2.0,26,10.0,12.2,no,,13660148
 panvel,1858.97,2,4.0,17,11.0,13.3,No,Yes,23013125
Ulwe,383.69,2BHK,4.0,13,37.0,15.8,,,5828905
Vashi,1032.91,1,2.0,9,32.0,8.4,no,NO,15611363
nerul,1160.79,2BHK,4.0,2,25.0,8.0,Yes,,16606373
Vashi,1188.09,3,3.0,17,9.0,16.4,Yes,,14858837
Panvel,1298.03,3,2.0,34,19.0,11.0,No,NO,26109632
Kharghar,379.59,,3.0,26,11.0,10.4,no,No,4107489
Belapur,847.08,4,4.0,23,27.0,2.3,Yes,No,₹11916932
Nerul,1408.41,4,3.0,Ground,11.0,3.3,yes,No,21200201 INR
Ulwe,1462.5,1,4.0,Ground,25.0,5.3,Yes,YES,17969921
KHARGHAR ,923.56,3,,11,30.0,2.3,yes,Yes,10377808
Ulwe,1163.68,,3.0,20,34.0,3.6,No,,13165801
 panvel,1010.56,1,4.0,11,33.0,9.8,Yes,Yes,16600369
nerul,832.28,3,2.0,24,30.0,9.8,No,No,16055533
,219.61,4,,28,3.0,0.1,Yes,NO,4268966
nerul,1633.59,2BHK,2.0,16,18.0,11.1,,NO,16023023
KHARGHAR ,1248.83,2BHK,4.0,3,25.0,16.4,no,No,18188400
Airoli,831.8,3,,4,37.0,7.4,yes,YES,15434182
KHARGHAR ,1188.37,,4.0,14,11.0,6.4,no,YES,12515195 INR
Panvel,519.45,4,1.0,0,24.0,4.0,yes,,8390668 INR
Ghansoli,1617.96,2BHK,,12,22.0,10.4,No,,23274104
nerul,1299.13,2BHK,,26,35.0,2.2,Yes,,12745896
Kharghar,740.29,2,2.0,25,11.0,11.6,no,NO,11929283
 panvel,389.05,1,2.0,30,4.0,20.5,no,Yes,4299837
Airoli,977.35,2,3.0,,15.0,2.5,,,11692109
 panvel,1029.36,2BHK,,24,39.0,7.9,,NO,₹15556210
Nerul,1080.34,1,1.0,32,21.0,15.3,no,NO,13940353
KHARGHAR ,1792.06,3,,11,20.0,0.7,No,Yes,28374745
Ghansoli,576.05,,1.0,10,4.0,6.7,No,,9218165
CBD Belapur,991.69,2,1.0,27,2.0,0.9,No,Yes,19350569
Ghansoli,1168.63,3,,24,19.0,12.6,no,No,24371117
Nerul,996.27,2BHK,3.0,,19.0,15.1,yes,Yes,13948821
Nerul,1502.06,2BHK,,3,6.0,20.2,Yes,YES,₹26499671
Ghansoli,1638.86,,4.0,20,26.0,3.4,No,YES,24329491
 panvel,618.72,3,2.0,26,30.0,4.1,No,NO,10293266
Ghansoli,948.56,3,2.0,,16.0,1.0,,NO,16148827
Belapur,670.16,2,4.0,14,23.0,6.7,No,NO,9374768
nerul,587.2,3,,29,9.0,9.1,yes,NO,6787963
,1745.94,4,4.0,33,24.0,10.1,Yes,NO,26935251 INR
